Date,Open,High,Low,Close,Adj Close,Volume
2019-04-15,63.790001,63.910000,63.639999,63.880001,63.880001,26900
2019-04-16,64.550003,64.639999,64.250000,64.309998,64.309998,25300
2019-04-17,65.900002,66.000000,65.550003,65.790001,65.790001,44400
2019-04-18,66.500000,66.900002,66.349998,66.830002,66.830002,46700
2019-04-22,66.870003,67.199997,66.550003,66.769997,66.769997,25700
2019-04-23,66.449997,66.449997,66.199997,66.309998,66.309998,29800
2019-04-24,65.400002,65.610001,65.000000,65.070000,65.070000,44000
2019-04-25,64.410004,64.540001,64.250000,64.309998,64.309998,49600
2019-04-26,65.000000,65.459999,64.870003,65.029999,65.029999,40300
2019-04-29,64.889999,65.150002,64.800003,65.129997,65.129997,23900
2019-04-30,65.070000,65.750000,64.970001,65.739998,65.739998,32200
